,dtype,count,mean,std,min,25%,50%,75%,max
75ZI800BA.pv,float64,35040.0,0.06328578405863046,0.029595975889309713,-0.0038966055571412,0.044950348852823126,0.0613760073979695,0.07812421042472117,0.259225262204806
75ZI800BB.pv,float64,35040.0,0.031085138493469118,0.041769936777076626,-0.0789661390086015,0.00474590413893255,0.02984097876275575,0.05458781967560443,0.26735353966554
75ZI801BA.pv,float64,35040.0,-0.09460180751671741,0.00600383851173364,-0.1086351846655209,-0.0985058690731724,-0.0952186045547326,-0.09159493527064712,-0.0349133184800545
75ZI801BB.pv,float64,35040.0,-0.07865332083830467,0.005006483848409707,-0.0920387248198191,-0.08195699248462912,-0.07916293404996391,-0.07618023591736953,-0.0202687713628013
75PI808.pv,float64,35040.0,9.878930029383266,0.6643945575535843,0.0,9.888917422294616,9.922914361953735,9.956783596674601,10.35942471822103
75PI823.pv,float64,35040.0,2.4891777503027765,0.038599504427498266,0.0,2.466922044754028,2.4878286123275757,2.508965969085693,2.699161767959595
75PI870.pv,float64,35040.0,8.003623025950903,1.0222208273052673,0.0,7.911483764648437,8.112933158874512,8.349181890487671,8.681539535522461
75PI845.pv,float64,35040.0,4.799431352743352,0.06978207958432754,0.002289202529937,4.754673480987549,4.807188034057617,4.846286773681641,4.953054428100586
75PDI853.pv,float64,35040.0,1.702688771312882,0.26105863085419806,0.0,1.5863656997680664,1.70087742805481,1.8378159403800964,6.0
75TI821.pv,float64,35040.0,55.59449630415059,3.066273968156027,28.4903335571289,55.29057693481445,56.08708190917969,56.73252868652344,63.49130630493164
75TI822.pv,float64,35040.0,62.735306470198175,3.481613428265042,31.92867851257324,62.54695129394531,63.05734252929688,63.62900543212891,72.9189682006836
75TI827.pv,float64,35040.0,56.6293182827022,2.727461933134336,31.58014678955078,56.58535766601562,56.94075012207031,57.30029678344727,64.46929168701172
75TI828.pv,float64,35040.0,63.276600531791445,3.5508251882860176,32.18220138549805,63.05734252929688,63.56780624389648,64.14791870117188,73.84817504882812
75TI824.pv,float64,35040.0,64.18675274097757,3.274028841690485,35.99408340454102,63.61509704589844,64.62515258789062,65.46570587158203,71.06275939941406
75TI829.pv,float64,35040.0,64.42581881627645,3.719451539766515,31.62697792053223,64.41780090332031,64.86311340332031,65.3167724609375,74.85575866699219
75TI830.pv,float64,35040.0,63.04212520732183,3.5244477087665422,31.75234794616699,63.04344940185547,63.47877883911133,63.86131286621094,70.467529296875
75TI831.pv,float64,35040.0,74.13101718208017,4.889886859447305,31.54709053039551,74.39518737792969,74.6994400024414,75.04420471191406,80.43814849853516
75TI832.pv,float64,35040.0,93.6622052571545,7.434610119344478,31.79642486572266,93.57795715332033,94.57478332519533,95.56912994384766,104.9247894287109
75TI836.pv,float64,35040.0,71.45186546719782,4.522237951095605,31.9782943725586,71.56053924560547,71.99283599853516,72.40008544921875,80.0089340209961
75TI834.pv,float64,35040.0,75.62734977360729,5.087496052310056,31.75510406494141,75.8727798461914,76.29515075683594,76.65684509277344,81.8407974243164
75XI821BX.pv,float64,35040.0,12.292376162254648,2.6443548074229697,0.8012208938598633,10.12972068786621,12.69962406158447,13.70659923553467,20.40388107299805
75XI822BY.pv,float64,35040.0,7.251037586922651,2.1612272005315356,0.7957704067230225,6.778901100158691,7.096527576446533,7.587071418762207,84.63235473632812
75XI823BX.pv,float64,35040.0,7.356717708786805,1.2016019733641117,0.7957704067230225,6.81037712097168,7.033847332000732,8.298358917236328,10.68485260009766
75XI824BX.pv,float64,35040.0,10.112011205156644,1.2423306890780572,0.8012208938598633,9.843570709228516,10.28996562957764,10.63958930969238,18.14192962646484
75SI865R.pv,float64,35040.0,6578.326842906428,848.6710633429745,9.095764398574827,6574.436735026042,6683.875960286458,6792.410396321615,8685.88046875
